序号,书籍封面,书名,推荐,出版时间,出版社,五星评价人数,现价,原价,折扣
1,http://img3m1.ddimg.cn/96/22/24157581-1_l_15.jpg,魔力四射：如何打动、亲近和影响他人（一本改变人生思维方式的魔力读物，助你掌握社交技巧与领导魅力）,100%推荐,2016-08-01,五星评分：,46823,&yen;24.90,&yen;32.00,7.8折
2,http://img3m0.ddimg.cn/33/33/25197810-1_l_3.jpg,尤尔小屋的猫,100%推荐,2018-01-01,五星评分：,47807,&yen;34.70,&yen;39.80,8.7折
3,http://img3m4.ddimg.cn/77/13/27911444-1_l_3.jpg,高尔基成长三部曲（童年、在人间、我的大学）,100%推荐,2019-08-01,五星评分：,14195,&yen;37.80,&yen;108.00,3.5折
4,http://img3m4.ddimg.cn/85/21/27889474-1_l_2.jpg,养成良好习惯，高效管理时间,100%推荐,2019-04-30,五星评分：,28034,&yen;27.30,&yen;35.00,7.8折
5,http://img3m0.ddimg.cn/65/35/28470980-1_l_5.jpg,阴谋与爱情,100%推荐,2019-06-30,五星评分：,39790,&yen;31.00,&yen;39.80,7.8折
6,http://img3m0.ddimg.cn/18/6/28501920-1_l_2.jpg,我的第一本哲学启蒙书,100%推荐,2020-02-01,五星评分：,4382,&yen;34.70,&yen;39.80,8.7折
7,http://img3m8.ddimg.cn/83/9/28516538-1_l_10.jpg,小王子（法语原版翻译，精装全彩插图，全译本，法语联盟基金会驻中国总代表推荐译本，比利时使馆法语区文化项目负责人翻译）,100%推荐,2020-02-18,五星评分：,4698,&yen;23.40,&yen;39.80,5.9折
8,http://img3m6.ddimg.cn/2/27/24157586-1_l_7.jpg,谋杀鉴赏（《读者的选择》最佳小说奖、国际推理小说“安东尼”奖提名。）,100%推荐,2016-05-01,五星评分：,31938,&yen;29.60,&yen;38.00,7.8折
9,http://img3m5.ddimg.cn/41/3/28486895-1_l_2.jpg,给孩子的财商启蒙书（樊登读书会推荐）,100%推荐,2020-01-01,五星评分：,9237,&yen;41.80,&yen;48.00,8.7折
10,http://img3m4.ddimg.cn/0/25/24157584-1_l_12.jpg,克隆版大脑（如果你脑子里的一切都被计算机复制，会发生什么事？国际斯坦福研究协会人工智能中心首席科学家理查德・瓦尔丁格倾力推荐）,100%推荐,2016-05-01,五星评分：,12771,&yen;30.40,&yen;39.00,7.8折
11,http://img3m8.ddimg.cn/8/26/25345988-1_l_1.jpg,有话说出来！（彻底颠覆社会人脉的固有方式，社交电池帮你搞定社交。社交恐惧症患者必须拥有的一本实用社交指南，初入大学和职场的必备“攻略”，拿起这本书，你也是“魏璎珞”）纤阅出品,100%推荐,2018-08-01,五星评分：,37934,&yen;32.70,&yen;42.00,7.8折
12,http://img3m0.ddimg.cn/10/28/25345990-1_l_3.jpg,间谍之死(拒绝好莱坞翻拍的年度作品，刺激程度超越《碟中谍》，更好看的悬疑推理小说，，更精彩的高科技犯罪！屏住呼吸，追击即将开始) 纤阅出品,100%推荐,2018-08-01,五星评分：,44295,&yen;44.40,&yen;57.00,7.8折
13,http://img3m4.ddimg.cn/95/22/25069964-1_l_19.jpg,旋木情缘（《今日美国》畅销书获奖作品中国首发：一座重获新生的旋转木马，一段爱情的回归之旅）,100%推荐,2017-01-01,五星评分：,31996,&yen;29.60,&yen;38.00,7.8折
14,http://img3m9.ddimg.cn/21/27/28470639-1_l_5.jpg,自游加州全攻略,100%推荐,2019-06-30,五星评分：,29791,&yen;38.20,&yen;48.00,8.0折
15,http://img3m2.ddimg.cn/97/23/24157582-1_l_13.jpg,脱口而出，妙语连珠：令人终生难忘的即兴演说书（成功与否并不取决于经验多寡，而是在于使用什么样的方法）,99.9%推荐,2016-08-01,五星评分：,24804,&yen;35.10,&yen;45.00,7.8折
16,http://img3m6.ddimg.cn/21/18/28504596-1_l_9.jpg,怪奇事物所（大张伟直播推荐）,99.9%推荐,2020-01-15,五星评分：,2015,&yen;55.70,&yen;58.00,9.6折
17,http://img3m3.ddimg.cn/20/26/27939503-1_l_3.jpg,焦虑日志,100%推荐,2019-09-01,五星评分：,31906,&yen;43.40,&yen;49.80,8.7折
18,http://img3m1.ddimg.cn/86/2/25546541-1_l_9.jpg,空间简史(教育部推荐读物，与《时间简史》《人类简史》《未来简史》并称“四大简史”),100%推荐,2019-01-01,五星评分：,30236,&yen;34.70,&yen;39.80,8.7折
19,http://img3m1.ddimg.cn/66/36/28470981-1_l_3.jpg,谜案鉴赏,100%推荐,2019-06-30,五星评分：,30910,&yen;38.80,&yen;49.80,7.8折
20,http://img3m6.ddimg.cn/3/13/28504776-1_l_3.jpg,和爸妈游世界 游中国 精装套装全2册,99.8%推荐,2019-12-01,五星评分：,927,&yen;24.90,&yen;159.80,1.6折
21,http://img3m3.ddimg.cn/50/6/28510763-1_l_4.jpg,在路上（李现推荐，趁着年轻生猛，我要再和生活死磕几年！全新精装十大硬核价值版！）（读客经典文库）,100%推荐,2020-01-06,五星评分：,1227,&yen;35.94,&yen;59.90,6.0折
22,http://img3m7.ddimg.cn/55/16/27918847-1_l_9.jpg,朝与同歌暮与酒,100%推荐,2019-09-01,五星评分：,15978,&yen;41.80,&yen;48.00,8.7折
