create_pin_code,u4tswt
confirm_pin_code,8t2lls
click_pin_skip,ygp30q
click_pin_recovery_skip,vxiisg
set_pin_recovery_email,gvl1x6
click_email_sign_up,8daedd
click_email_sign_up_verification_ok,fpej1h
set_pin_recovery_email_success,t7u9kz
foget_pin,n89pfx
get_verification_code,cz8d28
submit_verification_code,vawcul
verification_code_success,k08uey
verification_code_not_match,enngst
resend_verification_code,enf4jt
click_star_importing,t6lldf
click_creat_new_album,yngpad
click_creat_new_album_success,npxi1p
click_import_photo,b7ebc0
click_import_photo_success,awc9sj
click_set,jpgkpk
album_share,fa5l89
album_manage,56j26j
album_password_creat,ia24ch
album_password_confirm,2n7u6a
click_change_album_cover,yoxr04
set_album_cover_on,g0z55w
click_album_lock_on,2kipcj
album_lock_on_down,2kipcj
click_general,r41q4v
general_password_recovery,wzlrmm
general_clean_after_import_off,uve58p
click_pin_screen,qqy0rb
pin_timeout_on,qk44dc
facedown_lock_on,eetxva
click_hellp_support,nwikmi
click_premium,ek3axl
show_sub_page,pb0fvt
click_sub_week,1er2in
click_sub_year,fxe507
first_purchased_weekly_try,un1v6e
first_purchased_yearly_try,r7xrx4
click_sub_restore,dpqndo
click_sub_close,k680hw
show_sub_page_first,s7hnac
click_sub_week_first,7n1gsh
click_sub_year_first,ftgyo4
first_purchased_weekly_try_first,4h6lqk
first_purchased_yearly_try_first,pcerf0
